Property Sub Type,Close$/SqFt,Close_Year,Close_Month,close_month_index,Close Date,SqFt,# Beds
Single Family Resi,1.5,2019,8,20,8/7/19,985.0,2.0
Single Family Resi,1.36,2019,8,20,8/18/19,1099.0,3.0
Condominium,1.45,2019,8,20,8/29/19,1072.0,2.0
Condominium,1.33,2019,8,20,8/10/19,1197.0,2.0
Single Family Resi,1.55,2019,8,20,8/9/19,1034.0,2.0
Single Family Resi,1.07,2019,8,20,8/13/19,1510.0,3.0
Duplex,0.68,2019,8,20,8/23/19,2422.0,3.0
Single Family Resi,1.6,2019,8,20,8/29/19,1034.0,2.0
Single Family Resi,0.89,2019,8,20,8/21/19,1855.0,4.0
Single Family Resi,1.36,2019,8,20,8/10/19,1228.0,3.0
Single Family Resi,1.11,2019,8,20,8/9/19,1522.0,4.0
Single Family Resi,1.23,2019,8,20,8/1/19,1381.0,3.0
Single Family Resi,1.21,2019,8,20,8/11/19,1408.0,3.0
Single Family Resi,1.05,2019,8,20,8/24/19,1717.0,4.0
Single Family Resi,1.05,2019,8,20,8/16/19,1809.0,3.0
Single Family Resi,1.48,2019,8,20,8/2/19,1286.0,3.0
Single Family Resi,1.05,2019,8,20,8/1/19,1843.0,4.0
Single Family Resi,1.26,2019,8,20,8/10/19,1546.0,3.0
Single Family Resi,1.17,2019,8,20,8/13/19,1699.0,3.0
Single Family Resi,0.91,2019,8,20,8/31/19,2203.0,4.0
Single Family Resi,1.26,2019,8,20,8/11/19,1587.0,3.0
Single Family Resi,0.98,2019,8,20,8/16/19,2033.0,3.0
Single Family Resi,1.11,2019,8,20,8/17/19,1900.0,3.0
Single Family Resi,0.98,2019,8,20,8/1/19,2136.0,4.0
Single Family Resi,1.39,2019,8,20,8/31/19,1544.0,3.0
Single Family Resi,1.14,2019,8,20,8/15/19,1924.0,3.0
Single Family Resi,1.27,2019,8,20,8/31/19,1735.0,3.0
Single Family Resi,1.14,2019,8,20,8/23/19,1934.0,4.0
Single Family Resi,1.0,2019,8,20,8/22/19,2292.0,4.0
Single Family Resi,0.89,2019,8,20,8/15/19,2600.0,4.0
Single Family Resi,0.99,2019,8,20,8/7/19,2422.0,3.0
Single Family Resi,1.11,2019,8,20,8/31/19,2154.0,3.0
Single Family Resi,0.92,2019,8,20,8/10/19,2712.0,4.0
Condominium,1.03,2019,8,20,8/18/19,2518.0,4.0
Condominium,1.09,2019,8,20,8/4/19,2518.0,4.0
Single Family Resi,2.04,2019,8,20,8/17/19,1594.0,3.0
Single Family Resi,1.11,2019,8,20,8/28/19,3158.0,4.0
Single Family Resi,2.51,2019,8,20,8/14/19,1452.0,3.0
Single Family Resi,1.28,2019,8,20,8/29/19,2894.0,4.0
Single Family Resi,2.29,2019,8,20,8/3/19,4011.0,4.0
Apartment,1.31,2019,8,20,8/7/19,651.0,1.0
Quadruplex,1.06,2019,8,20,8/19/19,893.0,2.0
Quadruplex,1.12,2019,8,20,8/29/19,893.0,2.0
Quadruplex,1.24,2019,8,20,8/26/19,850.0,1.0
Apartment,1.29,2019,8,20,8/22/19,850.0,2.0
Condominium,1.9,2019,8,20,8/18/19,576.0,1.0
Condominium,1.73,2019,8,20,8/20/19,650.0,1.0
Quadruplex,1.38,2019,8,20,8/1/19,825.0,2.0
Condominium,1.77,2019,8,20,8/24/19,650.0,1.0
Quadruplex,1.12,2019,8,20,8/10/19,1050.0,2.0
Quadruplex,1.37,2019,8,20,8/1/19,900.0,2.0
Quadruplex,0.35,2019,8,20,8/10/19,3612.0,2.0
Duplex,1.67,2019,8,20,8/6/19,750.0,2.0
Single Family Resi,1.23,2019,8,20,8/21/19,1058.0,3.0
Duplex,0.71,2019,8,20,8/3/19,1925.0,2.0
Condominium,1.47,2019,8,20,8/15/19,940.0,2.0
