,BLACK,HHSEX,METRO,HHGRAD,HHMAR,HHCITSHP,HHAGE,NUMPEOPLE,HINCP,DIVISION,OWNER
106,0.0,1,1.0,39,6,1,31,1,4.301029995663981,9,0.0
107,0.0,2,0.0,39,3,1,80,1,4.328379603438738,5,0.0
108,0.0,2,1.0,44,1,1,50,5,5.488550716500444,9,1.0
109,0.0,2,1.0,40,6,1,22,3,4.886490725172482,9,0.0
110,0.0,2,1.0,43,4,1,49,1,4.763427993562937,5,1.0
111,0.0,1,1.0,40,1,1,28,2,4.792601781164967,6,1.0
112,0.0,1,1.0,33,1,5,53,8,5.1702617153949575,5,1.0
113,0.0,2,1.0,44,4,1,65,1,4.778151250383644,5,1.0
115,1.0,1,0.0,37,5,1,58,1,4.037426497940624,6,0.0
117,0.0,2,0.0,42,1,1,47,3,5.0,5,1.0
118,0.0,2,1.0,39,1,1,51,3,4.963787827345556,5,1.0
119,0.0,1,1.0,39,1,1,70,2,4.716337287889549,6,1.0
120,1.0,1,1.0,45,1,1,36,5,5.113943352306837,5,0.0
121,1.0,1,1.0,42,6,1,47,1,4.903089986991944,6,1.0
123,1.0,2,1.0,39,6,1,28,1,4.605305046141109,5,0.0
124,1.0,1,1.0,39,5,1,45,4,4.227886704613674,6,0.0
125,1.0,1,1.0,39,6,1,33,1,4.838849090737256,6,0.0
126,0.0,1,1.0,40,6,1,27,9,5.321184027302314,5,0.0
127,0.0,2,1.0,45,3,1,67,1,4.870403905279027,5,1.0
128,0.0,1,1.0,33,1,5,36,5,4.653212513775344,5,0.0
130,1.0,2,0.0,32,3,1,85,1,4.383815365980431,6,0.0
131,0.0,1,0.0,39,6,1,34,3,4.146128035678238,5,0.0
132,0.0,2,0.0,39,6,1,27,2,5.260071387985075,5,0.0
133,1.0,2,1.0,39,6,1,41,1,4.158362492095249,6,0.0
135,0.0,2,1.0,39,1,1,61,2,4.574031267727719,5,1.0
136,1.0,2,1.0,38,6,1,63,6,4.3979400086720375,5,0.0
138,1.0,1,1.0,44,4,1,57,2,5.1702617153949575,5,1.0
141,0.0,2,1.0,44,6,1,22,1,4.7831886910752575,5,0.0
145,0.0,1,1.0,44,1,5,61,4,4.845098040014257,5,0.0
146,0.0,2,1.0,39,1,1,47,3,5.058426024457005,6,1.0
147,0.0,2,1.0,39,3,1,77,1,4.633468455579586,5,1.0
148,0.0,2,1.0,39,4,1,61,1,4.57978359661681,5,0.0
150,0.0,2,1.0,38,1,1,38,4,5.523226041965701,5,1.0
153,1.0,2,0.0,39,1,1,49,5,4.748188027006201,6,0.0
154,0.0,2,1.0,39,4,4,62,3,4.392696953259666,9,1.0
155,1.0,1,1.0,36,6,1,56,1,4.193124598354461,6,0.0
156,0.0,2,1.0,40,3,4,59,3,4.900913067737669,5,1.0
157,0.0,2,1.0,44,6,4,35,1,5.5820633629117085,5,1.0
158,0.0,1,1.0,40,1,1,50,2,4.664641975556125,5,1.0
162,0.0,2,1.0,39,6,5,25,5,4.880813592280791,5,0.0
164,0.0,2,1.0,40,3,1,79,1,4.334453751150931,6,1.0
166,0.0,2,1.0,39,3,1,85,1,4.303196057420489,9,0.0
167,1.0,2,0.0,38,4,1,49,5,4.4281347940287885,6,0.0
168,0.0,2,1.0,36,3,1,76,1,4.056904851336473,6,0.0
169,0.0,2,1.0,39,3,1,76,1,4.790285164033242,6,1.0
170,0.0,2,1.0,41,1,5,45,5,5.204119982655925,5,1.0
171,0.0,1,1.0,38,2,5,44,4,4.863322860120456,5,0.0
172,0.0,1,1.0,41,1,1,65,3,4.920123326290724,6,1.0
174,0.0,1,1.0,40,6,1,20,2,4.653212513775344,2,0.0
176,0.0,2,1.0,44,2,1,60,1,5.041392685158225,2,1.0
177,0.0,1,1.0,44,1,4,44,3,5.079181246047625,5,1.0
178,0.0,1,1.0,41,1,1,44,3,4.892094602690481,8,1.0
179,1.0,1,1.0,41,6,1,70,1,4.623249290397901,2,0.0
180,0.0,1,0.0,39,1,1,50,3,5.0,7,1.0
181,0.0,2,0.0,35,6,1,27,1,4.380211241711606,5,1.0
184,0.0,1,1.0,39,4,5,48,3,4.623249290397901,2,1.0
185,0.0,2,1.0,36,6,1,32,4,4.764848357193411,5,0.0
186,1.0,1,1.0,44,5,1,68,1,5.545307116465824,2,0.0
187,1.0,1,1.0,44,2,1,80,2,5.545307116465824,2,0.0
188,0.0,2,1.0,45,1,1,44,3,5.181843587944773,2,1.0
189,0.0,2,1.0,39,1,1,60,2,5.144885418287142,2,1.0
190,0.0,1,1.0,44,6,1,70,1,4.2552725051033065,5,1.0
192,0.0,1,1.0,39,1,4,72,2,4.704150516839799,2,1.0
193,0.0,1,1.0,44,1,1,40,3,5.685741738602264,2,0.0
194,0.0,2,1.0,45,1,1,30,2,4.903089986991944,5,1.0
195,1.0,2,1.0,43,6,1,32,2,4.819543935541868,8,0.0
196,1.0,2,1.0,39,6,1,49,2,4.698970004336019,7,0.0
197,0.0,2,1.0,39,5,1,39,3,4.187520720836463,2,0.0
198,0.0,1,1.0,43,6,1,63,1,4.041392685158225,5,0.0
200,0.0,1,1.0,40,1,1,53,2,4.845098040014257,5,1.0
202,1.0,2,1.0,37,3,1,61,1,4.477121254719663,2,1.0
203,0.0,2,1.0,43,3,1,44,1,4.594392550375427,2,1.0
205,0.0,2,1.0,44,4,1,61,1,4.477121254719663,5,1.0
206,0.0,1,1.0,44,6,1,34,2,5.0,8,0.0
207,0.0,2,1.0,40,4,1,80,1,4.283301228703549,8,0.0
208,0.0,2,1.0,44,4,1,31,3,4.826074802700826,5,0.0
211,0.0,2,0.0,44,1,2,40,4,5.023663918197793,5,1.0
212,0.0,1,1.0,39,4,1,64,1,4.653212513775344,5,0.0
215,0.0,1,1.0,36,1,1,47,3,4.139879086401237,5,0.0
216,1.0,2,1.0,36,6,1,15,5,5.041392685158225,2,0.0
217,0.0,2,1.0,45,1,1,57,2,5.323870606540509,2,1.0
218,0.0,1,1.0,36,1,1,43,4,4.477121254719663,5,0.0
219,1.0,2,1.0,40,6,1,48,1,4.414973347970818,5,0.0
220,0.0,1,1.0,44,6,1,37,2,5.4996870826184034,8,1.0
222,0.0,2,1.0,43,4,3,51,1,4.301029995663981,2,0.0
224,0.0,1,1.0,43,6,1,64,2,4.491361693834273,5,0.0
225,0.0,2,1.0,39,1,1,65,2,4.724275869600789,2,1.0
226,0.0,1,1.0,39,1,2,77,2,4.453318340047038,5,1.0
227,1.0,2,0.0,40,6,1,57,1,4.494154594018442,7,1.0
228,0.0,1,1.0,39,1,1,53,3,4.698970004336019,2,0.0
229,1.0,2,0.0,39,5,1,46,2,4.781036938621132,5,0.0
230,0.0,1,0.0,39,1,1,74,2,4.8299466959416355,7,1.0
231,0.0,1,0.0,39,1,1,55,2,4.643452676486188,5,1.0
232,0.0,2,1.0,42,3,1,59,1,4.672097857935717,5,1.0
237,1.0,1,1.0,39,5,1,71,1,5.545307116465824,2,0.0
238,1.0,2,1.0,39,6,1,63,1,4.176091259055681,2,0.0
239,0.0,2,1.0,44,1,1,27,2,5.323870606540509,2,1.0
240,0.0,1,1.0,45,1,1,78,2,4.956024282280677,2,1.0
241,0.0,2,1.0,47,1,5,36,4,5.342422680822207,8,1.0
243,0.0,2,1.0,41,1,4,57,4,4.869231719730976,8,1.0
244,0.0,1,1.0,44,1,1,53,2,4.6661434272915585,5,1.0
245,0.0,1,1.0,45,1,3,65,2,4.8401060944567575,7,1.0
246,0.0,1,1.0,39,1,2,42,2,4.740362689494244,5,1.0
247,0.0,1,1.0,44,1,1,80,2,4.713490543093942,5,1.0
250,0.0,1,1.0,44,4,1,61,1,4.889861721258188,2,1.0
251,0.0,2,0.0,45,3,1,80,1,4.371252629124939,5,1.0
255,1.0,1,1.0,40,1,4,31,2,4.832508912706237,2,0.0
256,0.0,2,1.0,44,3,1,85,1,5.12057393120585,2,0.0
257,0.0,1,1.0,44,4,1,41,1,5.0,5,0.0
258,0.0,2,1.0,44,1,1,32,2,5.282848602834645,2,1.0
260,1.0,1,1.0,36,4,5,31,4,4.505149978319906,5,0.0
261,0.0,1,1.0,35,6,5,30,5,4.2552725051033065,7,0.0
264,0.0,2,1.0,40,1,1,36,5,4.961705784002505,7,1.0
266,0.0,2,1.0,39,5,1,58,3,4.801609488027319,5,1.0
267,0.0,1,1.0,44,4,1,35,3,5.05307844348342,8,1.0
270,0.0,2,1.0,44,3,4,60,1,4.477121254719663,8,1.0
271,0.0,2,1.0,43,4,2,48,1,4.225309281725863,5,0.0
272,1.0,2,1.0,40,6,1,31,3,4.301029995663981,5,0.0
274,0.0,2,0.0,39,3,1,70,1,4.079181246047625,5,0.0
277,1.0,2,1.0,38,4,1,21,3,4.222716471147583,5,0.0
278,0.0,2,1.0,47,3,1,72,2,4.913813852383717,5,1.0
279,0.0,2,1.0,39,1,2,72,4,4.3222192947339195,2,1.0
280,1.0,2,1.0,40,5,1,48,1,4.778151250383644,2,1.0
281,1.0,2,1.0,44,1,1,30,4,4.853698211776174,2,1.0
289,1.0,2,0.0,39,4,1,40,5,4.623766000133931,5,0.0
290,1.0,2,0.0,44,1,1,58,2,4.707570176097937,5,1.0
291,1.0,2,1.0,39,5,1,21,3,4.477121254719663,5,0.0
292,1.0,2,1.0,39,1,4,65,2,4.866877814337498,2,1.0
293,0.0,1,1.0,39,1,2,39,9,4.954281111677642,2,1.0
296,1.0,1,1.0,39,1,1,24,2,4.633468455579586,2,0.0
297,0.0,1,1.0,40,1,1,64,2,4.935507265824713,8,1.0
298,0.0,1,1.0,44,1,4,65,2,4.431363764158987,8,1.0
299,0.0,2,1.0,39,3,1,85,2,4.672097857935717,2,1.0
301,0.0,1,1.0,43,4,1,42,2,4.954242509439325,5,1.0
302,0.0,2,1.0,39,1,1,68,2,4.6551384348113825,2,1.0
303,0.0,2,1.0,45,1,1,64,2,5.089905111439398,2,1.0
304,0.0,2,1.0,44,4,1,78,1,4.218797998111738,5,0.0
305,0.0,2,1.0,39,1,1,63,3,4.357934847000454,8,0.0
308,0.0,2,0.0,40,6,1,32,2,4.681241237375588,7,1.0
313,0.0,2,1.0,39,1,4,38,2,4.913813852383717,5,0.0
314,0.0,2,1.0,38,1,1,32,3,4.176091259055681,2,0.0
315,1.0,2,1.0,44,3,1,54,2,4.623249290397901,2,1.0
316,0.0,2,1.0,45,6,1,26,1,4.812913356642856,2,0.0
317,0.0,1,1.0,36,3,1,68,4,4.4996870826184034,2,0.0
319,0.0,1,1.0,44,1,1,32,3,5.57978359661681,2,1.0
321,0.0,2,1.0,43,4,1,66,2,4.897627091290442,2,1.0
323,0.0,1,1.0,44,6,3,61,3,5.183269843682805,8,0.0
326,0.0,1,1.0,44,1,1,59,2,5.051923916046107,8,1.0
327,0.0,1,1.0,40,1,1,73,2,4.904715545278681,5,1.0
328,1.0,2,0.0,36,6,1,36,4,4.113943352306837,5,0.0
331,0.0,1,1.0,42,1,1,38,4,5.561101383649056,5,0.0
332,1.0,2,1.0,39,4,1,45,3,4.77451696572855,2,1.0
333,0.0,2,1.0,38,4,1,25,1,4.531478917042255,2,0.0
334,1.0,2,1.0,39,3,1,72,3,5.0224283711854865,2,1.0
335,0.0,1,1.0,45,1,1,56,3,4.740362689494244,2,1.0
